href,title,price,feedbacks
/Causal-Inference-Data-Science-Villa/dp/1633439658,Causal Inference for Data Science ,"R$ 298,04",Feedbacks not available
/Storytelling-Data-Cole-Nussbaumer-Knaflic/dp/1119621496?ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d,Storytelling with Data: Let's Practice! ,"R$ 198,60",614
/Data-Driven-Science-Engineering-Learning-Dynamical/dp/1108422098?ufe=app_do%3Aamzn1.fos.e05b01e0-91a7-477e-a514-15a32325a6d6,"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control ","R$ 424,54",234
/Data-Science-Lined-Notebook-Scientist/dp/B09FNTN9J2,Data Science Lined Notebook: Data Science Girl Journal 120 Pages for a Data Scientist ,Price not available,Feedbacks not available
/Categorical-Data-Analysis-Alan-Agresti/dp/0470463635?ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Categorical Data Analysis: 792 ,"R$ 747,81",62
/Learn-Conquer-KNIME-Demand-Professionals-ebook/dp/B0C5KY91HV,Learn and Conquer KNIME: How to Conquer Big Data and Data Science with KNIME and Become One Of the Most In-Demand Professionals in the Job Market (English Edition) ,"R$ 0,00",Feedbacks not available
/Things-Every-Data-Engineer-Should/dp/1492062413?ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74,97 Things Every Data Engineer Should Know: Collective Wisdom from the Experts ,"R$ 212,33",40
/Structures-Algorithm-Analysis-Computer-Science-ebook/dp/B007ZYXQI2,"Data Structures and Algorithm Analysis in C++, Third Edition (Dover Books on Computer Science) (English Edition) ","R$ 154,34",40
/Probabilistic-Machine-Learning-Advanced-Topics/dp/0262048434,Probabilistic Machine Learning: Advanced Topics ,"R$ 893,79",125
/Classification-Data-Science-Digital-Age/dp/3031090330,Classification and Data Science in the Digital Age ,"R$ 316,36",Feedbacks not available
/Data-Science-Beginners-Programming-Learning-ebook/dp/B0842X2C28,The Machine Learning Bible: [4 in 1] From Scikit-Learn to Pytorch and Everything in between to Build Smart Systems – Top Secret Tips and Tricks to Break ... (Python Programming) (English Edition) ,"R$ 0,00",750
/Data-Science-Executive-Non-Technical-Professionals-ebook/dp/B08PQ619LY,Data Science: The Executive Summary - A Technical Book for Non-Technical Professionals (English Edition) ,"R$ 317,36",1
/Bayesian-Networks-Examples-Marco-Scutari/dp/0367366517?ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Bayesian Networks: With Examples in R ,"R$ 548,91",5
/Self-Service-Data-Roadmap-Democratize-Insight/dp/1492075256?ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12,The Self-Service Data Roadmap: Democratize Data and Reduce Time to Insight ,"R$ 287,49",56
/Practical-Data-Science-Greg-Foss/dp/1492046442?ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74,Practical Data Science with SAP: Machine Learning Techniques for Enterprise Data ,"R$ 244,97",3
/Spark-Definitive-Guide-Bill-Chambers/dp/1491912219?ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,Spark: The Definitive Guide: Big Data Processing Made Simple ,"R$ 332,03",390
/Data-Science-Geosciences-English-Lijing-ebook/dp/B0C94PVLVT,Data Science for the Geosciences (English Edition) ,"R$ 239,33",Feedbacks not available
/Data-Science-Interview-Language-Scientist-ebook/dp/B09PX25VQ3,"Data Science Interview: Prep for SQL, Panda, Python, R Language, Machine Learning, DBMS and RDBMS – And More – The Full Data Scientist Interview Handbook (English Edition) ","R$ 0,00",158
/Data-Science-Command-Line-Explore/dp/1492087912?ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12,"Data Science at the Command Line: Obtain, Scrub, Explore, and Model Data with Unix Power Tools ","R$ 285,33",21
/Foundations-Architecting-Data-Solutions-Malaska/dp/1492038741?ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74,Foundations for Architecting Data Solutions: Managing Successful Data Projects ,"R$ 231,04",50
/dp/B0CB1WW96H,The Beginner's Guide to Data Science: Unleashing the Power of Data for Business Success (English Edition) ,"R$ 0,00",Feedbacks not available
/Python-Geospatial-Data-Analysis-Intelligence/dp/109810479X?ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12,"Python for Geospatial Data Analysis: Theory, Tools, and Practice for Location Intelligence ","R$ 261,17",16
